x,y,elevation,conv_k3,mrrtf_t42,mrvbf_t42,aspect,easterness,fishersK_k3,fishersK_k5,fishersK_k7,fishersK_k9,geomorphons,grass_aspect,grass_pcurve,grass_slope,grass_tcurve,northerness,northerness_slope,slope,stdDev_k3,stdDev_k5,stdDev_k7,stdDev_k9,topoRoughIdx_k3,topoRoughIdx_k5,topoRoughIdx_k7,topoRoughIdx_k9,topoWetIdx,vector_strength_k3,vector_strength_k5,vector_strength_k7,vector_strength_k9
2801932,2004830,-252.29071020507797,-2.966477394104,9.75822323607822e-05,0.0012871990822427,54.6103858947754,0.738383054733276,0.009429202415049,0.0232658721506596,0.0386697873473167,0.0564516708254814,5,47.5938606262207,0.009633601643145,29.7818965911865,0.0149197531864047,0.674381494522095,20.0843601226807,30.6874008178711,2.34830760955811,4.0041880607605,6.42560958862305,9.09339046478271,5.51454830169678,16.0335216522217,41.288459777832,82.6897506713867,3.61458873748779,8.9245662689209,24.4416198730469,47.1438484191895,76.4838638305664
3285024,2004830,-303.073699707031,-1.76381778717041,0.0005417357386529,0.0071075026001478,38.1844749450684,0.571013212203979,0.0011559159029275,0.0024741748347878,0.0041316845454275,0.005931494757533,6,34.8209114074707,-0.0073770117014646,27.3042373657227,0.0046245236881077,0.820940852165222,22.4151649475098,27.3151149749756,2.11685609817505,3.66517877578735,5.16791200637817,6.66765451431274,4.48107957839966,13.433536529541,26.707311630249,44.4576187133789,5.26935243606567,8.99075222015381,24.9406204223633,48.8016777038574,80.5254821777344
3768115,2004830,-337.17898535156195,1.33911442756653,0.0511196465856701,0.415718719780709,9.76002788543701,0.18939097225666,0.0001845862425398,0.0014099637046456,0.0038498791400343,0.0059131272137165,6,10.9172439575195,5.62754685233813e-05,11.3446159362793,0.0002402735553914,0.98190176486969,11.1392984390259,11.39342212677,0.818963587284088,1.30991649627686,1.64537143707275,1.97644984722137,0.670701384544373,1.71588122844696,2.70724701881409,3.90635371208191,7.30252265930176,8.9985237121582,24.9661617279053,48.8152046203613,80.5269470214844
4251207,2004830,-346.79870581054695,-1.79129028320312,0.0620534726197956,0.664175358176438,33.3304100036621,0.513639628887177,0.0001738291757646,0.0005455664359033,0.0010694259544834,0.0016566972481086,6,30.9065704345703,2.4919734642026e-05,5.10887670516968,0.0003124831127934,0.858006000518799,4.38344669342041,5.16220188140869,0.364812165498734,0.632545113563538,0.9230837225914,1.26136040687561,0.133087918162346,0.40011328458786,0.852083504199982,1.59103012084961,9.06172275543213,8.99860954284668,24.9869060516357,48.9486694335938,80.8674621582031
4734299,2004830,-358.602599853516,2.7827534267999e-06,1.98486013611975,3.95802329955605,-1.0,0.0,0.0,0.0,0.0,0.0036224457435309,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,49.0,80.710205078125
193236,2028985,-347.01260351562496,-5.73885869979858,0.433350509174553,0.151287137962552,265.983825683594,-0.991695165634155,0.0039069061167538,0.0079470835626125,0.0164638739079237,0.0436467155814171,6,277.389312744141,0.0019242138369008,5.37109613418579,0.0021241006907075,0.128610625863075,0.690779983997345,4.75744295120239,0.381331294775009,0.881814122200012,1.81029808521271,2.73643088340759,0.145413547754288,0.777596175670624,3.27717900276184,7.48805379867554,5.90808486938477,8.9687442779541,24.8092708587646,48.2097358703613,77.5082626342773
676328,2028985,-315.533996337891,24.0145225524902,4.77983485632771e-05,1.97811553638894,136.31803894043,0.268453061580658,0.11239629983902,0.35303395986557,0.443722605705261,0.466728419065475,7,164.427764892578,-0.0399726256728172,18.847827911377,-0.0203534178435802,-0.9632927775383,-18.1559772491455,6.10977125167847,1.46105074882507,2.94428396224976,3.94013929367065,4.76029253005981,2.13466930389404,8.66880798339844,15.524697303772,22.6603851318359,7.1638069152832,8.100830078125,16.5271854400635,27.7013149261475,43.6617240905762
1159420,2028985,-233.80380224609394,5.50748777389526,6.97777887070927e-06,0.0011038625884828,227.433898925781,-0.545674324035645,0.0082238409668207,0.0169506799429655,0.0220346711575985,0.0242525022476912,6,213.070755004883,0.0026053965557366,37.4933815002441,-0.0102388504892588,-0.837997376918793,-31.4193534851074,33.3527412414551,3.15420007705688,5.95418834686279,8.59227657318115,10.7750453948975,9.94897747039795,35.4523620605469,73.8272094726562,116.101600646973,5.74036741256714,8.93420886993408,24.5931835174561,47.9423370361328,79.0597991943359
1642512,2028985,-133.378204101562,-6.00163888931274,0.107629281457805,0.309661839161597,227.579147338867,-0.885017395019531,0.0077213696204125,0.015719186514616,0.0220508817583323,0.038571260869503,6,242.253662109375,0.0040543652139604,12.4699583053589,0.0043592741712927,-0.465557962656021,-5.80548810958862,9.84810829162598,0.904895007610321,1.68733382225037,2.51806998252869,3.7773003578186,0.818835020065308,2.84709525108337,6.34067678451538,14.2679977416992,4.54556226730347,8.93822860717773,24.6227397918701,47.9415588378906,77.9142990112305
2125603,2028985,-241.93368505859394,26.1520748138428,0.118022684779979,2.92740051384238,334.333679199219,-0.126454174518585,0.672084331512451,0.772544920444489,0.743310630321503,0.684758543968201,9,352.735260009766,-0.0176316555589437,1.83806312084198,-0.0044819405302405,0.99197244644165,1.82330799102783,6.25174283981323,0.221631914377213,1.36691272258759,3.46879363059998,5.64478302001953,0.0491207055747509,1.86845028400421,12.0325288772583,31.8635749816895,11.039758682251,3.62332534790039,6.45892143249512,13.3210897445679,26.2193183898926
